Parameter,Value
Location,"Airoli, Airoli Station Road, Airoli Sector 2, Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India"
Latitude,19.1585147
Longitude,72.9994019
Roof Area (m²),6.88
Roof Orientation,Landscape
Solar Panels,28
Installed Capacity (kW),15.4
Annual Energy (kWh),22942.61
Annual Saving (₹),183540.88
Payback (Years),5.0
25-Year Profit (₹),3664522.0
Temperature (°C),30.7
Humidity (%),70
Wind (km/h),15.3
Cloud Cover (%),99
CO₂ Offset (kg/year),18812.94
Trees Equivalent,1092
